"",Name,OutcomeType,OutcomeSubtype,AnimalType,AgeDays,Fertility,sex,Hour,Weekday,Month,Year,TimeofDay,WorkDay,Mix,SimpleBreed,PureColor,SimpleColor,Age
"81",N,Adoption,Blank,Dog,60,N,Female,17,2,11,2013,everning,Y,Y,Australian Cattle Dog,Pure,Red,Kid
"82",Y,Adoption,Blank,Dog,730,N,Male,17,1,8,2014,everning,Y,Y,Chihuahua Shorthair,Pure,Brown,Adult
"83",Y,Adoption,Foster,Dog,1460,N,Male,7,3,6,2015,morning,Y,Y,German Shepherd,Mix,Brown,Adult
"84",Y,Adoption,Blank,Dog,730,N,Female,13,1,11,2015,afternoon,Y,Y,Pointer,Pure,Chocolate,Adult
"85",Y,Adoption,Blank,Dog,180,N,Male,17,7,2,2015,everning,N,Y,Cocker Spaniel,Mix,Sable,Kid
"86",N,Adoption,Blank,Dog,180,N,Male,12,5,11,2015,afternoon,Y,Y,Labrador Retriever,Mix,Buff,Kid
"87",Y,Adoption,Blank,Dog,365,N,Female,18,4,1,2014,everning,Y,N,Rottweiler,Pure,Black,Kid
"88",Y,Adoption,Foster,Dog,365,N,Female,17,2,3,2015,everning,Y,Y,Chihuahua Shorthair,Pure,Brown,Kid
"89",Y,Adoption,Blank,Dog,60,N,Male,18,2,5,2014,everning,Y,Y,Boxer,Mix,Tricolor,Kid
"90",N,Adoption,Blank,Dog,730,N,Female,18,7,1,2014,everning,N,Y,Chihuahua Shorthair,Mix,Tan,Adult
"91",Y,Adoption,Blank,Dog,120,N,Male,18,4,11,2014,everning,Y,N,German Shepherd,Pure,Red,Kid
"92",Y,Adoption,Foster,Dog,60,N,Female,17,7,1,2014,everning,N,N,Border Collie,Pure,Black,Kid
"93",N,Adoption,Blank,Dog,120,N,Male,15,6,4,2014,afternoon,N,N,Collie Smooth,Mix,Tricolor,Kid
"94",Y,Adoption,Blank,Dog,1825,N,Male,12,1,6,2015,afternoon,Y,N,Plott Hound,Pure,Brown,Adult
"95",N,Adoption,Blank,Dog,300,N,Female,18,1,11,2015,everning,Y,Y,Chihuahua Shorthair,Pure,Tan,Kid
"96",Y,Adoption,Blank,Dog,300,N,Female,17,2,11,2015,everning,Y,N,Anatol Shepherd,Mix,White,Kid
"97",Y,Adoption,Foster,Dog,730,N,Female,14,6,2,2015,afternoon,N,Y,Pit Bull,Pure,Brown,Adult
"98",Y,Adoption,Blank,Dog,730,N,Female,18,6,10,2015,everning,N,N,Chinese Sharpei,Pure,Red,Adult
"99",Y,Adoption,Blank,Dog,365,N,Female,12,2,3,2015,afternoon,Y,Y,Flat Coat Retriever,Mix,Black,Kid
"100",Y,Adoption,Blank,Dog,730,N,Female,16,1,3,2015,everning,Y,N,Pointer,Pure,Chocolate,Adult
"101",Y,Adoption,Blank,Dog,1825,N,Male,15,7,9,2014,afternoon,N,Y,Chihuahua Shorthair,Pure,Tan,Adult
"102",Y,Adoption,Blank,Dog,365,N,Male,19,1,11,2015,everning,Y,Y,Boxer,Pure,Brown,Kid
"103",N,Adoption,Blank,Dog,730,N,Male,14,6,10,2014,afternoon,N,Y,Jack Russell Terrier,Pure,White,Adult
"104",Y,Adoption,Blank,Dog,1095,N,Male,15,1,1,2014,afternoon,Y,N,Labrador Retriever,Mix,Brown,Adult
"105",Y,Adoption,Blank,Dog,730,N,Male,14,1,2,2015,afternoon,Y,N,Bernese Mountain Dog,Mix,Tricolor,Adult
"106",Y,Adoption,Blank,Dog,365,N,Female,13,7,5,2014,afternoon,N,Y,Chihuahua Shorthair,Pure,White,Kid
"107",Y,Adoption,Blank,Dog,730,N,Male,18,1,5,2015,everning,Y,Y,Pit Bull,Mix,Brown,Adult
"108",Y,Adoption,Blank,Dog,180,N,Female,11,7,11,2015,afternoon,N,Y,Pointer,Pure,White,Kid
"109",N,Adoption,Blank,Dog,90,N,Male,13,3,3,2015,afternoon,Y,N,Chihuahua Longhair,Mix,Tricolor,Kid
"110",Y,Adoption,Foster,Dog,30,N,Male,16,2,7,2014,everning,Y,N,Labrador Retriever,Pure,Chocolate,Kid
"111",Y,Adoption,Blank,Dog,730,N,Female,14,6,5,2014,afternoon,N,Y,Pit Bull,Pure,Blue,Adult
"112",N,Adoption,Blank,Dog,60,N,Male,17,2,8,2014,everning,Y,Y,Dachshund Wirehair,Pure,Brown,Kid
"113",Y,Adoption,Blank,Dog,90,N,Male,17,7,6,2014,everning,N,Y,Chihuahua Shorthair,Pure,Buff,Kid
"114",N,Adoption,Blank,Dog,2555,N,Female,17,4,3,2015,everning,Y,Y,Miniature Poodle,Mix,White,Adult
"115",Y,Adoption,Blank,Dog,730,N,Female,15,7,3,2015,afternoon,N,Y,Dachshund,Mix,Brown,Adult
"116",Y,Adoption,Blank,Dog,1095,N,Male,11,3,6,2014,afternoon,Y,N,Labrador Retriever,Mix,Black,Adult
"117",Y,Adoption,Blank,Dog,240,Y,Male,14,1,7,2015,afternoon,Y,Y,Pit Bull,Pure,White,Kid
"118",Y,Adoption,Blank,Dog,2190,N,Male,17,2,10,2015,everning,Y,Y,Miniature Poodle,Mix,Buff,Adult
"119",Y,Adoption,Blank,Dog,730,N,Male,14,5,11,2015,afternoon,Y,Y,Chihuahua Shorthair,Mix,Black,Adult
"120",N,Adoption,Blank,Dog,300,N,Female,17,6,3,2014,everning,N,Y,Jack Russell Terrier,Mix,Tricolor,Kid
"121",Y,Adoption,Blank,Dog,365,N,Male,14,6,3,2015,afternoon,N,Y,Chihuahua Shorthair,Mix,Tan,Kid
"122",Y,Adoption,Blank,Dog,240,N,Female,19,1,12,2013,everning,Y,Y,Labrador Retriever,Mix,Black,Kid
"123",Y,Adoption,Blank,Dog,1095,N,Female,14,5,11,2015,afternoon,Y,Y,Pit Bull,Pure,Black,Adult
"124",Y,Adoption,Blank,Dog,60,N,Female,17,2,1,2015,everning,Y,Y,Border Collie,Mix,Tricolor,Kid
"125",Y,Adoption,Foster,Dog,30,N,Male,17,7,3,2014,everning,N,Y,Chihuahua Shorthair,Pure,Brown,Kid
"126",Y,Adoption,Blank,Dog,1095,N,Female,18,4,3,2014,everning,Y,N,Yorkshire Terrier,Pure,White,Adult
"127",Y,Adoption,Blank,Dog,270,N,Male,18,2,4,2015,everning,Y,N,Rhod Ridgeback,Pure,Red,Kid
"128",Y,Adoption,Blank,Dog,365,N,Male,16,7,11,2014,everning,N,N,Labrador Retriever,Pure,Brown,Kid
"129",N,Adoption,Blank,Dog,120,N,Female,16,2,5,2015,everning,Y,N,Chinese Sharpei,Mix,Red,Kid
"130",N,Adoption,Blank,Dog,60,N,Male,17,4,1,2016,everning,Y,N,Dachshund,Mix,Black,Kid
"131",N,Adoption,Blank,Dog,1095,N,Female,13,3,12,2015,afternoon,Y,Y,Chihuahua Shorthair,Mix,Tan,Adult
"132",Y,Adoption,Foster,Dog,60,N,Female,17,7,10,2013,everning,N,Y,Chihuahua Shorthair,Mix,Black,Kid
"133",Y,Adoption,Blank,Dog,2555,N,Male,18,5,2,2015,everning,Y,N,Harrier,Pure,Brown,Adult
"134",Y,Adoption,Blank,Dog,1460,N,Female,17,3,1,2014,everning,Y,N,Miniature Poodle,Pure,White,Adult
"135",Y,Adoption,Blank,Dog,730,N,Female,12,7,12,2015,afternoon,N,Y,Labrador Retriever,Pure,White,Adult
"136",Y,Adoption,Blank,Dog,4380,N,Female,17,6,11,2013,everning,N,Y,Harrier,Mix,Tricolor,Old
"137",Y,Adoption,Blank,Dog,730,N,Female,16,2,1,2015,everning,Y,Y,Miniature Schnauzer,Mix,Buff,Adult
"138",Y,Adoption,Blank,Dog,150,N,Female,12,1,9,2014,afternoon,Y,Y,Rottweiler,Pure,Black,Kid
"139",Y,Adoption,Blank,Dog,120,N,Female,11,2,8,2015,afternoon,Y,Y,Mexican Hairless,Pure,Tan,Kid
"140",Y,Adoption,Blank,Dog,60,N,Male,19,7,1,2016,everning,N,Y,Labrador Retriever,Pure,Black,Kid
"141",Y,Adoption,Blank,Dog,60,N,Male,17,1,10,2014,everning,Y,Y,Redbone Hound,Pure,Brown,Kid
"142",Y,Adoption,Blank,Dog,730,N,Male,18,5,12,2014,everning,Y,Y,Chihuahua Shorthair,Pure,Brown,Adult
"143",N,Adoption,Blank,Dog,60,N,Female,17,1,7,2014,everning,Y,N,Dachshund,Pure,Sable,Kid
"144",Y,Adoption,Blank,Dog,240,N,Male,13,1,5,2015,afternoon,Y,N,Border Collie,Pure,Blue,Kid
"145",Y,Adoption,Blank,Dog,365,N,Female,12,2,1,2015,afternoon,Y,Y,Catahoula,Pure,Yellow,Kid
"146",Y,Adoption,Blank,Dog,2190,N,Male,18,6,7,2015,everning,N,Y,Swedish Vallhund,Mix,Sable,Adult
"147",Y,Adoption,Blank,Dog,365,Y,Female,18,3,11,2013,everning,Y,Y,Pit Bull,Pure,Blue,Kid
"148",N,Adoption,Blank,Dog,60,N,Male,19,2,12,2015,everning,Y,N,Labrador Retriever,Mix,Tan,Kid
"149",Y,Adoption,Blank,Dog,730,N,Female,14,4,7,2014,afternoon,Y,Y,Boxer,Pure,White,Adult
"150",Y,Adoption,Blank,Dog,90,N,Male,17,2,1,2014,everning,Y,Y,Border Collie,Pure,Tan,Kid
"151",N,Adoption,Blank,Dog,365,N,Female,18,7,9,2014,everning,N,Y,Chihuahua Shorthair,Pure,Tan,Kid
"152",N,Adoption,Blank,Dog,60,N,Female,17,7,5,2014,everning,N,Y,Australian Shepherd,Pure,Chocolate,Kid
"153",Y,Adoption,Foster,Dog,30,N,Male,17,7,8,2015,everning,N,N,Dachshund Wirehair,Pure,Black,Kid
"154",Y,Adoption,Blank,Dog,120,N,Male,18,2,3,2015,everning,Y,Y,English Pointer,Pure,Brown,Kid
"155",Y,Adoption,Blank,Dog,365,N,Female,19,3,1,2015,everning,Y,N,Labrador Retriever,Pure,Black,Kid
"156",Y,Adoption,Blank,Dog,730,N,Female,13,4,10,2013,afternoon,Y,Y,Chihuahua Shorthair,Pure,Brown,Adult
"157",N,Adoption,Blank,Dog,1095,N,Male,17,3,10,2014,everning,Y,Y,Miniature Schnauzer,Pure,Black,Adult
"158",Y,Adoption,Blank,Dog,730,N,Female,14,7,10,2014,afternoon,N,Y,Australian Kelpie,Pure,Black,Adult
"159",Y,Adoption,Blank,Dog,1825,N,Female,18,7,2,2016,everning,N,Y,Pit Bull,Pure,Brown,Adult
"160",Y,Adoption,Foster,Dog,60,N,Male,10,4,8,2014,morning,Y,Y,Australian Kelpie,Mix,Sable,Kid
"161",Y,Adoption,Blank,Dog,120,N,Male,13,5,10,2013,afternoon,Y,Y,Labrador Retriever,Pure,Brown,Kid
"162",Y,Adoption,Blank,Dog,180,N,Female,16,1,12,2013,everning,Y,Y,Labrador Retriever,Mix,Black,Kid
"163",N,Adoption,Blank,Dog,60,N,Female,14,7,10,2014,afternoon,N,Y,Chihuahua Shorthair,Mix,Black,Kid
"164",Y,Adoption,Blank,Dog,240,N,Female,18,2,8,2015,everning,Y,Y,Pointer,Pure,Black,Kid
"165",Y,Adoption,Foster,Dog,1825,N,Female,11,7,11,2014,afternoon,N,Y,Dogo Argentino,Mix,White,Adult
"166",Y,Adoption,Blank,Dog,365,N,Female,12,1,12,2015,afternoon,Y,Y,Great Pyrenees,Pure,White,Kid
"167",Y,Adoption,Blank,Dog,1825,N,Female,12,1,8,2015,afternoon,Y,Y,Basset Hound,Mix,Tricolor,Adult
"168",Y,Adoption,Blank,Dog,60,N,Female,16,7,2,2015,everning,N,Y,Anatol Shepherd,Pure,White,Kid
"169",Y,Adoption,Blank,Dog,240,N,Male,14,3,2,2014,afternoon,Y,N,Labrador Retriever,Mix,Black,Kid
"170",Y,Adoption,Blank,Dog,300,N,Male,15,6,12,2015,afternoon,N,Y,Australian Cattle Dog,Pure,Red,Kid
"171",Y,Adoption,Blank,Dog,365,N,Male,18,2,1,2015,everning,Y,Y,Chihuahua Shorthair,Pure,Tricolor,Kid
"172",Y,Adoption,Blank,Dog,730,N,Male,19,5,10,2014,everning,Y,N,German Shepherd,Mix,Brown,Adult
"173",Y,Adoption,Blank,Dog,365,N,Female,15,2,4,2014,afternoon,Y,Y,Beagle,Pure,Red,Kid
"174",Y,Adoption,Blank,Dog,365,N,Female,17,1,9,2015,everning,Y,Y,Pit Bull,Pure,Black,Kid
"175",Y,Adoption,Blank,Dog,730,N,Female,17,7,11,2013,everning,N,Y,Rat Terrier,Pure,White,Adult
"176",Y,Adoption,Blank,Dog,365,N,Male,18,4,4,2015,everning,Y,Y,Chihuahua Shorthair,Mix,Tan,Kid
"177",Y,Adoption,Blank,Dog,365,N,Male,19,7,1,2016,everning,N,Y,Miniature Poodle,Pure,White,Kid
"178",Y,Adoption,Blank,Dog,60,N,Female,19,7,7,2014,everning,N,N,Redbone Hound,Pure,Brown,Kid
"179",Y,Adoption,Foster,Dog,60,N,Male,11,2,12,2014,afternoon,Y,N,German Shepherd,Pure,Black,Kid
"180",Y,Adoption,Blank,Dog,300,N,Female,18,7,10,2013,everning,N,N,Australian Shepherd,Pure,Blue,Kid
"181",Y,Adoption,Blank,Dog,730,N,Male,14,2,6,2014,afternoon,Y,N,Boxer,Pure,Red,Adult
"182",Y,Adoption,Foster,Dog,2190,N,Male,8,7,8,2015,morning,N,Y,Pit Bull,Pure,Blue,Adult
"183",Y,Adoption,Blank,Dog,1460,N,Female,17,6,7,2014,everning,N,Y,Chihuahua Shorthair,Mix,Tricolor,Adult
"184",Y,Adoption,Blank,Dog,365,N,Male,13,4,9,2015,afternoon,Y,N,Labrador Retriever,Pure,Black,Kid
"185",Y,Adoption,Blank,Dog,60,N,Female,12,1,1,2015,afternoon,Y,Y,Chihuahua Shorthair,Pure,Brown,Kid
"186",Y,Adoption,Blank,Dog,730,N,Male,15,7,10,2014,afternoon,N,Y,American Pit Bull Terrier,Pure,White,Adult
"187",Y,Adoption,Foster,Dog,1095,N,Male,15,3,8,2014,afternoon,Y,Y,Chihuahua Shorthair,Pure,Black,Adult
"188",Y,Adoption,Blank,Dog,730,N,Male,16,3,9,2015,everning,Y,N,Whippet,Pure,White,Adult
"189",N,Adoption,Blank,Dog,365,N,Female,18,7,12,2013,everning,N,Y,Chihuahua Shorthair,Pure,Buff,Kid
"190",Y,Adoption,Blank,Dog,730,N,Male,17,5,2,2016,everning,Y,N,Jack Russell Terrier,Pure,White,Adult
"191",Y,Adoption,Blank,Dog,1460,N,Female,18,1,6,2014,everning,Y,N,Catahoula,Pure,Tan,Adult
"192",Y,Adoption,Blank,Dog,1095,N,Female,17,7,1,2015,everning,N,Y,Staffordshire,Mix,Blue,Adult
"193",Y,Adoption,Blank,Dog,730,N,Male,18,6,12,2013,everning,N,Y,Bruss Griffon,Pure,Brown,Adult
"194",Y,Adoption,Blank,Dog,365,N,Male,17,6,11,2014,everning,N,Y,Pit Bull,Pure,Brown,Kid
"195",Y,Adoption,Blank,Dog,3650,N,Male,16,1,1,2015,everning,Y,N,Vizsla,Mix,Red,Old
"196",Y,Adoption,Blank,Dog,60,N,Male,17,5,1,2015,everning,Y,Y,Boxer,Pure,Brown,Kid
"197",Y,Adoption,Blank,Dog,1460,N,Female,15,5,1,2015,afternoon,Y,Y,Australian Shepherd,Pure,White,Adult
"198",Y,Adoption,Foster,Dog,30,N,Male,18,1,11,2014,everning,Y,N,Miniature Pinscher,Pure,Chocolate,Kid
"199",Y,Adoption,Blank,Dog,365,N,Male,15,1,11,2013,afternoon,Y,Y,Miniature Poodle,Mix,White,Kid
"200",Y,Adoption,Blank,Dog,365,N,Female,13,3,5,2015,afternoon,Y,Y,Rat Terrier,Pure,White,Kid
"201",Y,Adoption,Blank,Dog,240,N,Male,15,1,9,2015,afternoon,Y,Y,Chihuahua Shorthair,Mix,Sable,Kid
"202",Y,Adoption,Blank,Dog,150,N,Male,18,7,4,2015,everning,N,Y,Chihuahua Shorthair,Pure,White,Kid
"203",Y,Adoption,Blank,Dog,730,N,Female,18,3,12,2015,everning,Y,Y,Pit Bull,Pure,White,Adult
"204",Y,Adoption,Blank,Dog,1825,N,Female,15,1,4,2015,afternoon,Y,N,Shih Tzu,Pure,White,Adult
"205",Y,Adoption,Foster,Dog,60,N,Male,17,7,8,2014,everning,N,Y,Chihuahua Shorthair,Mix,Brown,Kid
"206",Y,Adoption,Foster,Dog,30,N,Male,17,7,5,2014,everning,N,N,Beagle,Pure,White,Kid
"207",Y,Adoption,Blank,Dog,300,N,Male,18,2,12,2013,everning,Y,N,Border Terrier,Pure,Black,Kid
"208",Y,Adoption,Blank,Dog,730,N,Female,17,7,2,2015,everning,N,N,Pug,Mix,Fawn,Adult
"209",Y,Adoption,Blank,Dog,1825,N,Male,12,1,12,2015,afternoon,Y,Y,Boerboel,Pure,Tan,Adult
"210",N,Adoption,Foster,Dog,30,N,Female,16,7,5,2015,everning,N,N,Shih Tzu,Pure,Brown,Kid
"211",Y,Adoption,Blank,Dog,2920,N,Female,13,7,3,2015,afternoon,N,Y,Jack Russell Terrier,Pure,White,Old
"212",Y,Adoption,Blank,Dog,30,N,Female,14,1,7,2014,afternoon,Y,N,Labrador Retriever,Mix,Tricolor,Kid
"213",Y,Adoption,Blank,Dog,365,N,Female,14,3,4,2015,afternoon,Y,Y,Rat Terrier,Mix,Tricolor,Kid
"214",Y,Adoption,Blank,Dog,1460,N,Female,17,1,4,2014,everning,Y,Y,Border Collie,Pure,Black,Adult
